-------------------------------------------------------------------------------
NVIDIA devices
-------------------------------------------------------------------------------
  GeForce 8800 GTX, PCI_ID=0191
  GeForce 8800 GTS, PCI_ID=0193
  GeForce 8800 Ultra, PCI_ID=0194
  GeForce 8600 GTS, PCI_ID=0400, (HW Video Decode)
  GeForce 8600 GT, PCI_ID=0401, (HW Video Decode)
  GeForce 8600 GT, PCI_ID=0402, (HW Video Decode)
  GeForce 8600 GS, PCI_ID=0403, (HW Video Decode)
  GeForce 8400 GS, PCI_ID=0404, (HW Video Decode)
  GeForce 9500M GS, PCI_ID=0405, (HW Video Decode)
  GeForce 8300 GS, PCI_ID=0406
  GeForce 8600M GT, PCI_ID=0407, (HW Video Decode)
  GeForce 9650M GS, PCI_ID=0408, (HW Video Decode)
  GeForce 8700M GT, PCI_ID=0409, (HW Video Decode)
  GeForce GT 330, PCI_ID=0410, (HW Video Decode)
  GeForce 8400 SE, PCI_ID=0420
  GeForce 8500 GT, PCI_ID=0421, (HW Video Decode)
  GeForce 8400 GS, PCI_ID=0422, (HW Video Decode)
  GeForce 8300 GS, PCI_ID=0423
  GeForce 8400 GS, PCI_ID=0424, (HW Video Decode)
  GeForce 8600M GS, PCI_ID=0425, (HW Video Decode)
  GeForce 8400M GT, PCI_ID=0426, (HW Video Decode)
  GeForce 8400M GS, PCI_ID=0427, (HW Video Decode)
  GeForce 8400M G, PCI_ID=0428, (HW Video Decode)
  GeForce 9400 GT, PCI_ID=042c, (HW Video Decode)
  GeForce 9300M G, PCI_ID=042e, (HW Video Decode)
  GeForce GTX 295, PCI_ID=05e0, (HW Video Decode)
  GeForce GTX 280, PCI_ID=05e1, (HW Video Decode)
  GeForce GTX 260, PCI_ID=05e2, (HW Video Decode)
  GeForce GTX 285, PCI_ID=05e3, (HW Video Decode)
  GeForce GTX 275, PCI_ID=05e6, (HW Video Decode)
  GeForce GTX 260, PCI_ID=05ea, (HW Video Decode)
  GeForce GTX 295, PCI_ID=05eb, (HW Video Decode)
  GeForce 8800 GTS 512, PCI_ID=0600, (HW Video Decode)
  GeForce 9800 GT, PCI_ID=0601, (HW Video Decode)
  GeForce 8800 GT, PCI_ID=0602, (HW Video Decode)
  GeForce GT 230, PCI_ID=0603, (HW Video Decode)
  GeForce 9800 GX2, PCI_ID=0604, (HW Video Decode)
  GeForce 9800 GT, PCI_ID=0605, (HW Video Decode)
  GeForce 8800 GS, PCI_ID=0606, (HW Video Decode)
  GeForce GTS 240, PCI_ID=0607, (HW Video Decode)
  GeForce 9800M GTX, PCI_ID=0608, (HW Video Decode)
  GeForce 8800M GTS, PCI_ID=0609, (HW Video Decode)
  GeForce GTX 280M, PCI_ID=060a, (HW Video Decode)
  GeForce 9800M GT, PCI_ID=060b, (HW Video Decode)
  GeForce 8800M GTX, PCI_ID=060c, (HW Video Decode)
  GeForce 8800 GS, PCI_ID=060d, (HW Video Decode)
  GeForce GTX 285M, PCI_ID=060f, (HW Video Decode)
  GeForce 9600 GSO, PCI_ID=0610, (HW Video Decode)
  GeForce 8800 GT, PCI_ID=0611, (HW Video Decode)
  GeForce 9800 GTX/9800 GTX+, PCI_ID=0612, (HW Video Decode)
  GeForce 9800 GTX+, PCI_ID=0613, (HW Video Decode)
  GeForce 9800 GT, PCI_ID=0614, (HW Video Decode)
  GeForce GTS 250, PCI_ID=0615, (HW Video Decode)
  GeForce 9800M GTX, PCI_ID=0617, (HW Video Decode)
  GeForce GTX 260M, PCI_ID=0618, (HW Video Decode)
  GeForce GT 230, PCI_ID=0621, (HW Video Decode)
  GeForce 9600 GT, PCI_ID=0622, (HW Video Decode)
  GeForce 9600 GS, PCI_ID=0623, (HW Video Decode)
  GeForce 9600 GSO 512, PCI_ID=0625, (HW Video Decode)
  GeForce GT 130, PCI_ID=0626, (HW Video Decode)
  GeForce GT 140, PCI_ID=0627, (HW Video Decode)
  GeForce 9800M GTS, PCI_ID=0628, (HW Video Decode)
  GeForce 9700M GTS, PCI_ID=062a, (HW Video Decode)
  GeForce 9800M GS, PCI_ID=062b, (HW Video Decode)
  GeForce 9800M GTS, PCI_ID=062c, (HW Video Decode)
  GeForce 9600 GT, PCI_ID=062d, (HW Video Decode)
  GeForce 9600 GT, PCI_ID=062e, (HW Video Decode)
  GeForce 9700 S, PCI_ID=0630, (HW Video Decode)
  GeForce GTS 160M, PCI_ID=0631, (HW Video Decode)
  GeForce GTS 150M, PCI_ID=0632, (HW Video Decode)
  GeForce 9600 GSO, PCI_ID=0635, (HW Video Decode)
  GeForce 9600 GT, PCI_ID=0637, (HW Video Decode)
  GeForce 9500 GT, PCI_ID=0640, (HW Video Decode)
  GeForce 9400 GT, PCI_ID=0641, (HW Video Decode)
  GeForce 9500 GT, PCI_ID=0643, (HW Video Decode)
  GeForce 9500 GS, PCI_ID=0644, (HW Video Decode)
  GeForce 9500 GS, PCI_ID=0645, (HW Video Decode)
  GeForce GT 120, PCI_ID=0646, (HW Video Decode)
  GeForce 9600M GT, PCI_ID=0647, (HW Video Decode)
  GeForce 9600M GS, PCI_ID=0648, (HW Video Decode)
  GeForce 9600M GT, PCI_ID=0649, (HW Video Decode)
  GeForce 9700M GT, PCI_ID=064a, (HW Video Decode)
  GeForce 9500M G, PCI_ID=064b, (HW Video Decode)
  GeForce 9650M GT, PCI_ID=064c, (HW Video Decode)
  GeForce G 110M, PCI_ID=0651, (HW Video Decode)
