-------------------------------------------------------------------------------
ATI devices
-------------------------------------------------------------------------------
  RV380, PCI_ID=3150
  RV380, PCI_ID=3151
  RV380, PCI_ID=3152
  RV380, PCI_ID=3154
  RV380, PCI_ID=3155
  RV380, PCI_ID=3e50
  RV380, PCI_ID=3e54
  RS100, PCI_ID=4136
  RS200, PCI_ID=4137
  R300, PCI_ID=4144
  R300, PCI_ID=4145
  R300, PCI_ID=4146
  R300, PCI_ID=4147
  R350, PCI_ID=4148
  R350, PCI_ID=4149
  R350, PCI_ID=414a
  R350, PCI_ID=414b
  RV350, PCI_ID=4150
  RV350, PCI_ID=4151
  RV360, PCI_ID=4152
  RV350, PCI_ID=4153
  RV350, PCI_ID=4154
  RV350, PCI_ID=4155
  RV350, PCI_ID=4156
  MACH, PCI_ID=4158
  RS250, PCI_ID=4237
  R200, PCI_ID=4242
  RS100, PCI_ID=4336
  RS200, PCI_ID=4337
  MACH, PCI_ID=4354
  MACH, PCI_ID=4358
  RS250, PCI_ID=4437
  MACH, PCI_ID=4554
  MACH, PCI_ID=4742
  MACH, PCI_ID=4744
  MACH, PCI_ID=4749
  MACH, PCI_ID=474c
  MACH, PCI_ID=474d
  MACH, PCI_ID=474e
  MACH, PCI_ID=474f
  MACH, PCI_ID=4750
  MACH, PCI_ID=4751
  MACH, PCI_ID=4752
  MACH, PCI_ID=4753
  MACH, PCI_ID=4754
  MACH, PCI_ID=4755
  MACH, PCI_ID=4756
  MACH, PCI_ID=4757
  MACH, PCI_ID=4758
  MACH, PCI_ID=4759
  MACH, PCI_ID=475a
  RV250, PCI_ID=4966
  RV250, PCI_ID=4967
  R420, PCI_ID=4a48
  R420, PCI_ID=4a49
  R420, PCI_ID=4a4a
  R420, PCI_ID=4a4b
  R420, PCI_ID=4a4c
  R420, PCI_ID=4a4d
  R420, PCI_ID=4a4e
  R420, PCI_ID=4a4f
  R420, PCI_ID=4a50
  R420, PCI_ID=4a54
  R481, PCI_ID=4b48
  R481, PCI_ID=4b49
  R481, PCI_ID=4b4a
  R481, PCI_ID=4b4b
  R481, PCI_ID=4b4c
  MACH, PCI_ID=4c42
  MACH, PCI_ID=4c44
  RAGE, PCI_ID=4c45
  RAGE, PCI_ID=4c46
  MACH, PCI_ID=4c47
  MACH, PCI_ID=4c49
  MACH, PCI_ID=4c4d
  MACH, PCI_ID=4c4e
  MACH, PCI_ID=4c50
  MACH, PCI_ID=4c51
  MACH, PCI_ID=4c52
  MACH, PCI_ID=4c53
  RADEON, PCI_ID=4c57
  RADEON, PCI_ID=4c58
  RADEON, PCI_ID=4c59
  RADEON, PCI_ID=4c5a
  RV250, PCI_ID=4c64
  RV250, PCI_ID=4c66
  RV250, PCI_ID=4c67
  RV280, PCI_ID=4c6e
  RAGE, PCI_ID=4d46
  RAGE, PCI_ID=4d4c
  R300, PCI_ID=4e44
  R300, PCI_ID=4e45
  R300, PCI_ID=4e46
  R300, PCI_ID=4e47
  R350, PCI_ID=4e48
  R350, PCI_ID=4e49
  R360, PCI_ID=4e4a
  R350, PCI_ID=4e4b
  RV350, PCI_ID=4e50
  RV350, PCI_ID=4e51
  RV350, PCI_ID=4e52
  RV350, PCI_ID=4e53
  RV350, PCI_ID=4e54
  RV350, PCI_ID=4e56
  RAGE, PCI_ID=5041
  RAGE, PCI_ID=5042
  RAGE, PCI_ID=5043
  RAGE, PCI_ID=5044
  RAGE, PCI_ID=5045
  RAGE, PCI_ID=5046
  RAGE, PCI_ID=5047
  RAGE, PCI_ID=5048
  RAGE, PCI_ID=5049
  RAGE, PCI_ID=504a
  RAGE, PCI_ID=504b
  RAGE, PCI_ID=504c
  RAGE, PCI_ID=504d
  RAGE, PCI_ID=504e
  RAGE, PCI_ID=504f
  RAGE, PCI_ID=5050
  RAGE, PCI_ID=5051
  RAGE, PCI_ID=5052
  RAGE, PCI_ID=5053
  RAGE, PCI_ID=5054
  RAGE, PCI_ID=5055
  RAGE, PCI_ID=5056
  RAGE, PCI_ID=5057
  RAGE, PCI_ID=5058
  RADEON, PCI_ID=5144
  RADEON, PCI_ID=5145
  RADEON, PCI_ID=5146
  RADEON, PCI_ID=5147
  R200, PCI_ID=5148
  R200, PCI_ID=514c
  R200, PCI_ID=514d
  RV200, PCI_ID=5157
  RV200, PCI_ID=5158
  RV100, PCI_ID=5159
  RV100, PCI_ID=515a
  RN50, PCI_ID=515e
  RAGE, PCI_ID=5245
  RAGE, PCI_ID=5246
  RAGE, PCI_ID=5247
  RAGE, PCI_ID=524b
  RAGE, PCI_ID=524c
  RAGE, PCI_ID=5345
  RAGE, PCI_ID=5346
  RAGE, PCI_ID=5347
  RAGE, PCI_ID=5348
  RAGE, PCI_ID=534b
  RAGE, PCI_ID=534c
  RAGE, PCI_ID=534d
  RAGE, PCI_ID=534e
  RAGE, PCI_ID=5446
  RAGE, PCI_ID=544c
  RAGE, PCI_ID=5452
  RAGE, PCI_ID=5453
  RAGE, PCI_ID=5454
  RAGE, PCI_ID=5455
  RV370, PCI_ID=5460
  RV370, PCI_ID=5462
  RV370, PCI_ID=5464
  R423, PCI_ID=5548
  R423, PCI_ID=5549
  R423, PCI_ID=554a
